DOI,Journal,Year,Title,First Author,Abstract,Language,Open Access,Document Type,Keywords
10.1515/CCLM.2010.138,CLINICAL CHEMISTRY AND LABORATORY MEDICINE,2010,Potential biomarkers for esophageal carcinoma detected by matrix-assisted laser desorption/ionization time-of-flight mass spectrometry,"Liu, LH","Background: Currently, no satisfactory biomarkers are available to screen for esophageal squamous cell carcinoma (ESCC). The goal of this study was to find biomarkers and establish a serum protein fingerprint model for early diagnosis of ESCC using the ClinProt protocol of matrix-assisted laser desorption/ionization time-of-flight mass spectrometry (MALDI-TOF MS). Methods: Serum samples were collected from 62 patients with ESCC, nine patients with esophageal adenocarcinoma (EA) and 38 healthy individuals. Proteomic spectra of mass to charge ratio (m/z) were generated following the application of plasma to weak cationic-exchanger magnetic beads (WCX-MB). The spectral data were analyzed using a support vector machine, and potential biomarkers were chosen for system training and used to construct diagnostic models. Results: Three differential patterns were established using MALDI-TOF MS. Pattern 1, consisting of 11 protein peaks, separated ESCC patients from the healthy individuals with a sensitivity of 90.0% and a specificity of 88.4%. Pattern 2, consisting of eight protein peaks, separated ESCC in stage I and stage II from stage III and stage IV with a sensitivity of 92.9% and a specificity of 82.3%. Pattern 3, consisting of seven protein peaks, separated ESCC from EA with a sensitivity of 91.3% and a specificity of 80.0%. Conclusions: These results suggested that MALDI-TOF MS combined with MB separation yields significantly higher sensitivity and specificity for the detection of serum protein in patients with ESCC. Clin Chem Lab Med 2010;48:855-61.",English,,Article,differential pattern; esophageal carcinoma; MALDI-TOF MS; proteomics
10.1007/978-1-60327-194-3_11,BIOINFORMATICS METHODS IN CLINICAL RESEARCH,2010,Feature Selection and Machine Learning with Mass Spectrometry Data,"Datta, S","Mass spectrometry has been used in biochemical research for a long time. However, its potential for discovering proteomic biomarkers using protein mass spectra has aroused tremendous interest in the last few years. In spite of its potential for biomarker discovery, it is recognized that the identification of meaningful proteomic features from mass spectra needs careful evaluation. Hence, extracting meaningful features and discriminating the samples based oil these features are still open areas of research. Several research groups are actively involved in making the process as perfect as possible. In this chapter, we provide a review of major contributions toward feature selection and classification of proteomic mass spectra involving MALDI-TOF and SELDI-TOF technology.",English,,Article; Book Chapter,"MALDI-TOF; SELDI-TOF; isotopic; filter; wrapper; LDA; QDA; SVM; KNN; R;
   Poisson; logistic; random forest; ROC; classification; peak detection"
10.1016/j.anaerobe.2023.102791,ANAEROBE,2023,Identification of root canal microbiota profiles of periapical tissue diseases using matrix-assisted laser desorption/ionization time-of-flight mass spectrometer,"Ahlat, M","Objectives: The purpose of this study was to identify microorganisms isolated from various periapical tissue diseases using Matrix-Assisted Laser Desorption Ionization Time-of-Flight Mass Spectrometry (MALDI-TOF-MS) and classify them via an unsupervised machine learning approach.Methods: A total of 150 patients with various apical conditions and teeth in need of endodontic retreatment were divided into five groups, including Retreatment, Acute Apical Abscess, Chronic Apical Abscess, Acute Apical Periodontitis, and Chronic Apical Periodontitis. Samples were collected from root canals using paper points after agitating with a #10 K file then microorganisms were identified using MALDI-TOF-MS. Data were analyzed using a hierarchical clustering method. Quadruple clusters and dendrograms were formed according to similarities and dissimilarities.Results: A total of 80 species were identified under six different phyla. The most similar microorganism species were identified ""Enterococcus faecalis"" between 21 and 23-year-old female cases in Retreatment group; ""Lactobacillus rhamnosus"" between 20 and 18-year-old male cases in Symptomatic Apical Abscess cases; ""Lactobacillus paracasei"" between 26 and 40-year-old male cases in Asymptomatic Apical Abscess cases; ""Enterococcus faecalis"" between 48 and 50-year-old female cases in Symptomatic Apical Periodontitis cases; ""Lactobacillus rhamnosus"" between 48 and 60-year-old male cases in Asymptomatic Apical Periodontitis cases. Conclusions: MALDI-TOF MS can be considered a fast and high-throughput screening technique for microbial species identification in endodontics. Thus, it will provide valuable data for future research designs regarding periapical tissue diseases. As the MALDI-TOF MS database expands and comprehensive data becomes available, the relationship between microbial profiles and disease progression will become increasingly apparent.",English,,Article,"anaerobic bacteria; Endodontics; High-throughput; MALDI-TOF MS;
   Periapical index (PAI); periapical tissue diseases"
10.1021/acs.analchem.9b05806,ANALYTICAL CHEMISTRY,2020,Fast Pathogen Identification Using Single-Cell Matrix-Assisted Laser Desorption/Ionization-Aerosol Time-of-Flight Mass Spectrometry Data and Deep Learning Methods,"Papagiannopoulou, C","In diagnostics of infectious diseases, matrix-assisted laser desorption/ionization-time-of-flight mass spectrometry (MALDI-TOF MS) can be applied for the identification of pathogenic microorganisms. However, to achieve a trustworthy identification from MALDI-TOF MS data, a significant amount of biomass should be considered. The bacterial load that potentially occurs in a sample is therefore routinely amplified by culturing, which is a time-consuming procedure. In this paper, we show that culturing can be avoided by conducting MALDI-TOF MS on individual bacterial cells. This results in a more rapid identification of species with an acceptable accuracy. We propose a deep learning architecture to analyze the data and compare its performance with traditional supervised machine learning algorithms. We illustrate our workflow on a large data set that contains bacterial species related to urinary tract infections. Overall we obtain accuracies up to 85% in discriminating five different species.",English,"Green Published, Bronze",Article,
10.1016/j.fpsl.2017.07.005,FOOD PACKAGING AND SHELF LIFE,2017,Sensory evaluation of chicken breast packed in two different modified atmospheres,"Franke, C","Sensory acceptance is the key criterion for consumers judging the freshness of chicken meat. Especially prior to any preparation the sensory impression is the deciding factor for further processing or any form of consumption. The focus of this study was the sensory evaluation and microbiological characterization by MALDI-TOF of raw chicken meat packaged in two different atmospheres (""CO2(30)"": 30/70% CO2/O-2 and ""CO2(15)"": 15/85% CO2/O-2) over a period of 14 days for CO2(30) and 8 days for CO2(15). The results showed that the composition of the modified atmospheres affects the sensory perception. The chicken meat packaged in CO2(30) was characterized by a sensorial longer shelf life, than the one stored in CO2(15). This could be attributed to the limited inhibition of Pseudomonas sp. in CO2(15). In addition, only a few attributes lead to the waste of meat, while other attributes were found to influence sensory perception only when a critical value of 107 CFU (colony forming units) cm(-2) had already been surpassed. The two attributes general visual impression and general orthonasal impression were suggested as the most suitable indicators of spoilage. By utilisation of sequential logistic regression the meat quality was subdivided in different levels of decay including ""fresh"", ""no longer fresh"" and ""spoiled"", in correlation with the sensory evaluation.",English,,Article,"Chicken meat; Modified atmosphere packaging; Sensory evaluation;
   Spoilage microbiota; MALDI-TOF MS; Logistic regression; Sequential
   logistic regression"
10.1093/bib/bbaa138,BRIEFINGS IN BIOINFORMATICS,2021,A large-scale investigation and identification of methicillin-resistant <i>Staphylococcus aureus</i> based on peaks binning of matrix-assisted laser desorption ionization-time of flight MS spectra,"Wang, HY","Recent studies have demonstrated that the matrix-assisted laser desorption ionization-time of flight mass spectrometry (MALDI-TOF MS) could be used to detect superbugs, such as methicillin-resistant Staphylococcus aureus (MRSA). Due to an increasingly clinical need to classify between MRSA and methicillin-sensitive Staphylococcus aureus (MSSA) efficiently and effectively, we were motivated to develop a systematic pipeline based on a large-scale dataset of MS spectra. However, the shifting problem of peaks in MS spectra induced a low effectiveness in the classification between MRSA and MSSA isolates. Unlike previous works emphasizing on specific peaks, this study employs a binning method to cluster MS shifting ions into several representative peaks. A variety of bin sizes were evaluated to coalesce drifted or shifted MS peaks to a well-defined structured data. Then, various machine learning methods were performed to carry out the classification between MRSA and MSSA samples. Totally 4858 MS spectra of unique S. aureus isolates, including 2500 MRSA and 2358 MSSA instances, were collected by Chang Gung Memorial Hospitals, at Linkou and Kaohsiung branches, Taiwan. Based on the evaluation of Pearson correlation coefficients and the strategy of forward feature selection, a total of 200 peaks (with the bin size of 10 Da) were identified as the marker attributes for the construction of predictive models. These selected peaks, such as bins 2410-2419, 2450-2459 and 6590-6599 Da, have indicated remarkable differences between MRSA and MSSA, which were effective in the prediction of MRSA. The independent testing has revealed that the random forest model can provide a promising prediction with the area under the receiver operating characteristic curve (AUC) at 0.8450. When comparing to previous works conducted with hundreds of MS spectra, the proposed scheme demonstrates that incorporating machine learning method with a large-scale dataset of clinical MS spectra may be a feasible means for clinical physicians on the administration of correct antibiotics in shorter turn-around-time, which could reduce mortality, avoid drug resistance and shorten length of stay in hospital in the future.",English,"hybrid, Green Published",Article,"Methicillin-resistant Staphylococcus aureus; MRSA; mass spectrometry;
   MALDI-TOF; binning method; machine learning; feature selection"
10.3389/fmicb.2024.1361795,FRONTIERS IN MICROBIOLOGY,2024,MSDeepAMR: antimicrobial resistance prediction based on deep neural networks and transfer learning,"López-Cortés, XA","Introduction Antimicrobial resistance (AMR) is a global health problem that requires early and effective treatments to prevent the indiscriminate use of antimicrobial drugs and the outcome of infections. Mass Spectrometry (MS), and more particularly MALDI-TOF, have been widely adopted by routine clinical microbiology laboratories to identify bacterial species and detect AMR. The analysis of AMR with deep learning is still recent, and most models depend on filters and preprocessing techniques manually applied on spectra. Methods This study propose a deep neural network, MSDeepAMR, to learn from raw mass spectra to predict AMR. MSDeepAMR model was implemented for Escherichia coli, Klebsiella pneumoniae, and Staphylococcus aureus under different antibiotic resistance profiles. Additionally, a transfer learning test was performed to study the benefits of adapting the previously trained models to external data. Results MSDeepAMR models showed a good classification performance to detect antibiotic resistance. The AUROC of the model was above 0.83 in most cases studied, improving the results of previous investigations by over 10%. The adapted models improved the AUROC by up to 20% when compared to a model trained only with external data. Discussion This study demonstrate the potential of the MSDeepAMR model to predict antibiotic resistance and their use on external MS data. This allow the extrapolation of the MSDeepAMR model to de used in different laboratories that need to study AMR and do not have the capacity for an extensive sample collection.",English,"Green Published, gold",Article,"MALDI-TOF; deep learning; antibiotic resistance; Escherichia coli;
   Klebsiella pneumoniae; Staphylococcus aureus; transfer learning"
10.1097/PAF.0000000000000275,AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY,2016,Identifying Diffuse Axonal Injury by Matrix-Assisted Laser Desorption/Ionization Time-of-Flight <i>A New Method for Pathological Observation</i>,"Ren, GH","Purpose: The aim of this study was to identify the diffuse axonal injury (DAI) of rat through screening out differentially expressed proteins which may represent potential biomarkers by matrix-assisted laser desorption/ionization time-of-flight (MALDI-TOF) imaging mass spectrometry (IMS), which could make a contribution for the research of forensic pathology. Methods: A total of 15 brainstem sections of rats (10 with and 5 without DAI) were conducted by MALDI-TOF IMS. Specific protein expression patterns were obtained for normal and DAI regions within the tissue sections. ""Supervised Neural Network"" algorithm was used to classify the DAI group from the normal group. Results: Applying a ""Supervised Neural Network"" algorithm, we were able to distinguish between normal and DAI regions with an overall cross validation, a sensitivity and specificity of 95.67%, 99.34%, and 92.01%, respectively. Additionally, 4 distinctively overexpressed peaks were identified: 7059 and 1518 Da for DAI sections, and 5077 and 4327 Da for normal sections. Conclusions: This study reveals the value of MALDI-TOF IMS to classify between normal and injured tissues and identify candidates for DAI biomarkers which will provide data to eventually understand the pathological mechanisms relevant to DAL which is a great help in forensic pathology.",English,,Article,"diffuse axonal injury; MALDI-TOF IMS; forensic pathology; proteomics;
   biomarkers"
10.24215/16666038.24.e08,JOURNAL OF COMPUTER SCIENCE & TECHNOLOGY,2024,Predicting Bacterial Antibiotic Resistance using MALDI-TOF Mass Spectrometry Databases with ELM Applications,"Mejías, VM","Early detection of antibiotic resistance is a crucial task, especially for vulnerable patients under prolonged treatments with a single antibiotic. To solve this, machine learning approaches have been reported in the state of the art. Researchers have used MALDI-TOF MS in order to predict antibiotic resistance and/or susmented LR, LightGBM and ANN to study the anLearning Machine (ELM) is a training algorithm for",English,gold,Article,"Antibiotic Resistance Prediction; MALDI-; sequilibradas. Por otro lado;
   Extreme Learning Ma-"
10.1371/journal.pone.0218951,PLOS ONE,2019,MALDI-TOF mass spectrometry on intact bacteria combined with a refined analysis framework allows accurate classification of MSSA and MRSA,"Tang, WH","Fast and reliable detection coupled with accurate data-processing and analysis of antibiotic-resistant bacteria is essential in clinical settings. In this study, we use MALDI-TOF on intact cells combined with a refined analysis framework to demonstrate discrimination between methicillin-susceptible (MSSA) and methicillin-resistant (MRSA) Staphylococcus aureus. By combining supervised and unsupervised machine learning methods, we firstly show that the mass spectroscopy data contains strong signal for the clustering of MSSA and MRSA. Then we concentrate on applying supervised learning to extract and verify the important features. A new workflow is proposed that allows for extracting a fixed set of reference peaks so that any new data can be aligned to it and hence consistent feature matrices can be obtained. Also note that by doing so we are able to examine the robustness of the important features that have been found. We also show that appropriate size of the benchmark data, appropriate alignment of the testing data and use of an optimal set of features via feature selection results in prediction accuracy over 90%. In summary, as proof-of-principle, our integrated experimental and bioinformatics study suggests a novel intact cell MALDI-TOF to be of great promise for fast and reliable detection of MRSA strains.",English,"Green Submitted, gold, Green Published",Article,
10.1021/acs.analchem.9b04049,ANALYTICAL CHEMISTRY,2020,Adaption of the Aristotle Classifier for Accurately Identifying Highly Similar Bacteria Analyzed by MALDI-TOF MS,"Desaire, H","MALDI-TOF MS has shown great utility for rapidly identifying microbial species. It can be used to successfully type bacteria and fungi from a variety of sources more rapidly and cost-effectively than traditional methods. One area where improvements are necessary is in the typing of highly similar samples, such as those samples from the same genus but different species or samples from within a single species but from different strains. One promising way to address this current limitation is by using advanced machine learning techniques. In this work, we adapt a newly developed machine learning tool, the Aristotle Classifier, to bacterial classification of MALDI-TOF MS data. This tool was originally developed for classifying glycomics and glycoproteomics data, so we modified it to be well-suited for assigning mass spectral data from bacterial proteins. The classifier exceeds existing benchmarks in classifying bacteria, and it shows particularly strong performance when the samples to be identified are highly similar. The combination of mass spectrometry data and tools like the Aristotle Classifier could ameliorate the ambiguities associated with challenging bacterial classification problems.",English,Green Accepted,Article,
10.1515/chem-2020-0174,OPEN CHEMISTRY,2020,MALDI-TOF MS profiling in the discovery and identification of salivary proteomic patterns of temporomandibular joint disorders,"Laputková, G","This research aimed to identify differences in polypeptide/protein profiles of the unstimulated whole saliva between patients with temporomandibular joint disorders (TMDs) and healthy individuals. A fraction of the polypeptides/proteins (<30 kDa) was analyzed by matrix-assisted laser desorption/ionization time-of-flight mass spectrometry. The spectra were recovered from methanoic acid/acetonitrile salivary samples overlaid with an alpha-cyano-4-hydroxy-cinnamic acid matrix in positive linear mode at an interval of 1,500-20,000 m/z mass acquisition range. The data were analyzed for the selection of characteristic peaks by using the ClinProTools 3.0 software. Discriminative classification models were generated by using a quick classifier, supervised neural network, and genetic algorithms. From the 23 peaks exhibiting the highest discriminatory power, the ten top-scored peaks with the area under the receiver operating characteristic >0.8 were selected. A panel of salivary markers that predicted the patients with TMDs was selected (2728.0, 4530.2, 5174.2, 5193.3, 6303.4, 6886.7, 8141.7, 8948.7, 10663.2, 10823.7 and 11009.0 m/z). Although carried out on relatively small datasets, the classification algorithm used in this study allows the differentiation between salivary samples from subjects with TMDs and healthy individuals and confirms the usefulness of a proteomic profiling approach in the monitoring of the disease.",English,gold,Article,saliva; temporomandibular joint disorders; MALDI-TOF MS; proteomics
10.1155/2023/8649429,TRANSBOUNDARY AND EMERGING DISEASES,2023,Rapid Discrimination of <i>Pseudomonas aeruginosa</i> ST175 Isolates Involved in a Nosocomial Outbreak Using MALDI-TOF Mass Spectrometry and FTIR Spectroscopy Coupled with Machine Learning,"Candela, A","The goal of this study was to evaluate matrix-assisted laser desorption ionization-iime of flight mass spectrometry (MALDI-TOF MS) and Fourier-transform infrared spectroscopy (FTIR-S) as diagnostic alternatives to DNA-based methods for the detection of Pseudomonas aeruginosa sequence type (ST) 175 isolates involved in a hospital outbreak. For this purpose, 27 P. aeruginosa isolates from an outbreak detected in the Hematology department of our hospital were analyzed by the above-mentioned methodologies. Previously, these isolates had been characterized by pulse-field gel electrophoresis (PFGE) and whole-genome sequencing (WGS). Besides, eight P. aeruginosa isolates were analyzed as unrelated controls. MALDI-TOF MS spectra were acquired by transferring several colonies onto the MALDI target and covering them with 1 mu l of formic acid 100% and 1 mu l of a-ciano-3,4-hidroxicinamic acid matrix. For the analysis with FTIR-S, colonies were resuspended in 70% ethanol and sterile water according to the manufacturer's instructions. Spectra from both methodologies were analyzed using Clover Biosoft Software, which allowed data modeling using different algorithms and validation of the classifying models. Three outbreak-specific biomarkers were found at 5,169, 6,915, and 7,236 m/z in MALDI-TOF MS spectra. Classification models based on these three biomarkers showed the same discrimination power displayed by PFGE. Besides, K-nearest neighbor algorithm allowed the discrimination of the same clusters provided by WGS and the validation of this model achieved 97.0% correct classification. On the other hand, FTIR- S showed a discrimination power similar to PFGE and reached correct discrimination of the different STs analyzed. In conclusion, the combination of both technologies evaluated, paired with machine learning tools, may represent a powerful tool for real-time monitoring of high-risk clones and isolates involved in nosocomial outbreaks.",English,"Green Published, gold, Green Submitted",Article,
10.1371/journal.pone.0228459,PLOS ONE,2020,Detection of carbapenem-resistant <i>Klebsiella pneumoniae</i> on the basis of matrix-assisted laser desorption ionization time-of-flight mass spectrometry by using supervised machine learning approach,"Huang, TS","Background Carbapenem-resistant Klebsiella pneumoniae (CRKP) is emerging as a significant pathogen causing healthcare-associated infections. Matrix-assisted laser desorption/ionisation mass spectrometry time-of-flight mass spectrometry (MALDI-TOF MS) is used by clinical microbiology laboratories to address the need for rapid, cost-effective and accurate identification of microorganisms. We evaluated application of machine learning methods for differentiation of drug resistant bacteria from susceptible ones directly using the profile spectra of whole cells MALDI-TOF MS in 46 CRKP and 49 CSKP isolates. Methods We developed a two-step strategy for data preprocessing consisting of peak matching and a feature selection step before supervised machine learning analysis. Subsequently, five machine learning algorithms were used for classification. Results Random forest (RF) outperformed other four algorithms. Using RF algorithm, we correctly identified 93% of the CRKP and 100% of the CSKP isolates with an overall classification accuracy rate of 97% when 80 peaks were selected as input features. Conclusions We conclude that CRKPs can be differentiated from CSKPs through RF analysis. We used direct colony method, and only one spectrum for an isolate for analysis, without modification of current protocol. This allows the technique to be easily incorporated into clinical practice in the future.",English,"Green Published, gold, Green Submitted",Article,
10.1155/2013/814876,BIOMED RESEARCH INTERNATIONAL,2013,Two Classifiers Based on Serum Peptide Pattern for Prediction of HBV-Induced Liver Cirrhosis Using MALDI-TOF MS,"Cao, Y","Chronic infection with hepatitis B virus (HBV) is associated with the majority of cases of liver cirrhosis (LC) in China. Although liver biopsy is the reference method for evaluation of cirrhosis, it is an invasive procedure with inherent risk. The aim of this study is to discover novel noninvasive specific serum biomarkers for the diagnosis of HBV-induced LC. We performed bead fractionation/MALDI-TOF MS analysis on sera from patients with LC. Thirteen feature peaks which had optimal discriminatory performance were obtained by using support-vector-machine-(SVM-) based strategy. Based on the previous results, five supervised machine learning methods were employed to construct classifiers that discriminated proteomic spectra of patients with HBV-induced LC from those of controls. Here, we describe two novel methods for prediction of HBV-induced LC, termed LC-NB and LC-MLP, respectively. We obtained a sensitivity of 90.9%, a specificity of 94.9%, and overall accuracy of 93.8% on an independent test set. Comparisons with the existing methods showed that LC-NB and LC-MLP held better accuracy. Our study suggests that potential serum biomarkers can be determined for discriminating LC and non-LC cohorts by using matrix-assisted laser desorption/ionization time-of-flight mass spectrometry. These two classifiers could be used for clinical practice in HBV-induced LC assessment.",English,"Green Submitted, Green Published, gold",Article,
10.1021/acsami.4c07322,ACS APPLIED MATERIALS & INTERFACES,2024,Synthesis of Sulfonated Phenylsilsesquioxanes Guided by Machine Learning,"Zhang, XY","Sulfonated octaphenylsilsesquioxane (SPOSS) has garnered significant interest due to its unique structural properties of containing the -SO3H group and its wide range of applications. This study introduces a novel approach to the synthesis of SPOSS, leveraging machine learning algorithms to explore new recipes and achieve higher -SO3H functionality. The focus was on synthesizing SPOSS with 2, 4, 6, and 8-SO3H functional groups on the phenyl group, marked as SPOSS-2, SPOSS-4, SPOSS-6, and SPOSS-8, respectively. The successful synthesis of SPOSS-8 was achieved by 5 training outputs based on the recipes of 21 sets of low-functionality (<4) SPOSS. The structure of SPOSS was confirmed using Fourier transform infrared (FTIR) spectroscopy, nuclear magnetic resonance (NMR) spectroscopy, and time-of-flight mass spectrometry (MALDI-TOF MS). Machine learning analysis revealed that K2SO4 is an important additive to improve the functionality of SPOSS. A synthetic mechanism was proposed and validated that K2SO4 participated in the reaction to generate sulfur trioxide (SO3), a sulfonating agent with high reactivity. SPOSS shows thermal stability superior to octaphenylsilsesquioxane (OPS) according to thermogravimetric analysis (TGA) and TG-FTIR.",English,,Article,"sulfonated octaphenylsilsesquioxane; synthesis; machine learning;
   synthesis mechanism; thermalstability"
10.1007/s10971-011-2555-z,JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY,2011,Improved silica xerogel film processing for MALDI-TOF-MS quantitative analysis of peptides and small molecules,"Careri, M","In this work, sol-gel derived silica films were prepared for direct desorption/ionization of organic compounds in MALDI-TOF-MS analysis with the aim of improving method precision and of reducing interfering signals at low m/z values. Two commonly used MALDI matrices, 2,5-dihydroxybenzoic acid (DHB) and alpha-cyano-4-hydroxycinnamic acid (CHCA), were incorporated into the sol-gel network in order to absorb laser energy and to induce analyte desorption/ionization with low or absent background signals in the mass spectra. To achieve a reproducible xerogel film formation, experimental parameters for its deposition were optimized. The gel matrices were characterized by Fourier Transform Infrared (FT-IR) spectroscopy, X-ray Diffraction (XRD), and Scanning Electron Microscopy (SEM) analysis. The results proved the embedding of the matrix molecules in a disperse form into the homogeneous sol-gel material. The sol-gel matrix was then tested for the qualitative and quantitative analysis of two reference peptides, such as Bradykinin and P(14)R. In addition, spectral quality and method performance were assessed for quantitation of melamine, a low-molecular weight compound of food safety concern. In all cases, high quality spectra and excellent mass accuracy (between 3.5 and 13 ppm) were observed. Furthermore, the experimental results evidenced a significant improvement of the measurement repeatability on spot and between spots (relative standard deviation < 10%), with respect to the traditional dried-droplet sample deposition method. Good sensitivity and linearity in the concentration range explored were obtained for peptides and melamine, demonstrating the suitability of the sol-gel-based matrix to be used for quantitative analysis.",English,,Article,"MALDI-TOF-MS; Silica xerogel film; SGALDI; Low-molecular weight peptides
   analysis; Melamine quantitative analysis"
10.1016/j.jprot.2019.103616,JOURNAL OF PROTEOMICS,2020,Comprehensive analysis of human IgG Fc N-glycopeptides and construction of a screening model for colorectal cancer,"Zou, Y","Currently, analyzing intact glycopeptides remains a challengeable task. Considerable progress has been achieved in the knowledge of immunoglobulin G (IgG) glycans in patients with colorectal cancer (CRC), whereas data on IgG Fc N-glycopeptides are scarce in the literature. To fill this gap in knowledge, we developed a rapid and effective method to obtain and analyze IgG Fc N-glycopeptides in the plasma from 46 CRC patients and 67 healthy individuals using chitosan@poly (glycidyl methacrylate) @iminodiacetic acid (CS@PGMA@IDA) nanomaterial in combination with matrix-assisted laser desorption/ionization-time of flight mass spectrometry (MALDI-TOF-MS). A total of 29 N-glycopeptides were detected and analyzed. Compared with healthy individuals, CRC patients had increased levels of N-acteylglucosamine, yet decreased levels of galactosylation, fucosylation and sialylation. Further, a multivariate logistic regression model was developed using the levels of IgG Fc N-glycopeptides to distinguish CRC patients from healthy individuals, and the prediction performance was good, with an average AUC of the ROC curves of 0.893. Significance: In this study, we proposed a strategy for obtaining and analyzing IgG glycopeptides using CS@PGMA@IDA nanomaterial in combination with MALDI-TOF-MS. Using this strategy, IgG Fc N-glycopeptides were analyzed in the plasma of CRC patients, and our findings indicated that glycosylation levels in the IgG Fc region were closely related to CRC. By using the IgG N-glycopeptide enrichment method and screening model designed in this study, early large-scale colorectal cancer screening can be implemented easily and fast.",English,,Article,"Colorectal cancer (CRC); IgG Fc N-glycopeptides; MALDI-TOF-MS;
   CS@PGMA@IDA nanomaterial; Multivariate logistic regression model"
10.1016/j.ab.2019.05.013,ANALYTICAL BIOCHEMISTRY,2019,Quantitative analysis of free fatty acids in gout by disposable paper-array plate based MALDI MS,"Ren, HX","The quantitative determination of small molecules by matrix assisted laser desorption ionization time of flight mass spectrometry (MALDI TOF MS) was always challenging, due to low sensitivity and interferences of matrix and other contaminants on sample plates. Here we report a disposable paper-array (PA) plate in MALDI TOF MS analysis for quantitative analysis of serum free fatty acids (FFAs) with less interference and higher sensitivity, compared with conventional stainless steel (SS) plate. The disposable PA plate was low cost and environmentally friendly. In particular, it was more sensitive in FFAs detection with similar to 8-34-fold sensitivity increase for eight FFAs as compared to SS plate. Eight serum FFAs in gout patients were investigated using this disposable PA plate. The quantitative results showed good linearity of all eight FFAs between 0.1 and 2.5 mM with correlation coefficients between 0.994 and 0.999 and limits of detection (LODs) between 8.6 and 104.2 mu M. Mann-Whitney U test, principal component analysis (PCA) and random forest categorizer allowed the clear separation of gout patients from healthy controls, according to eight FFAs levels in serum detected by disposable PA plate based MALDI TOF MS.",English,,Article,Disposable; Paper-array plate; MALDI TOF MS; Free fatty acids; Gout
10.1371/journal.pntd.0010577,PLOS NEGLECTED TROPICAL DISEASES,2023,MALDI-TOF: A new tool for the identification of <i>Schistosoma</i> cercariae and detection of hybrids,"Huguenin, A","Schistosomiasis is a neglected water-born parasitic disease caused by Schistosoma affecting more than 200 million people. Introgressive hybridization is common among these parasites and raises issues concerning their zoonotic transmission. Morphological identification of Schistosoma cercariae is difficult and does not permit hybrids detection. Our objective was to assess the performance of MALDI-TOF (Matrix Assistated Laser Desorption-Ionization-Time Of Flight) mass spectrometry for the specific identification of cercariae in human and non-human Schistosoma and for the detection of hybridization between S. bovis and S. haematobium. Spectra were collected from laboratory reared molluscs infested with strains of S. haematobium, S. mansoni, S. bovis, S. rodhaini and S. bovis x S. haematobium natural (Corsican hybrid) and artificial hybrids. Cluster analysis showed a clear separation between S. haematobium, S. bovis, S. mansoni and S. rodhaini. Corsican hybrids are classified with those of the parental strain of S. haematobium whereas other hybrids formed a distinct cluster. In blind test analysis the developed MALDI-TOF spectral database permits identification of Schistosoma cercariae with high accuracy (94%) and good specificity (S. bovis: 99.59%, S. haematobium 99.56%, S. mansoni and S. rodhaini: 100%). Most misidentifications were between S. haematobium and the Corsican hybrids. The use of machine learning permits to improve the discrimination between these last two taxa, with accuracy, F1 score and Sensitivity/Specificity > 97%. In multivariate analysis the factors associated with obtaining a valid identification score (> 1.7) were absence of ethanol preservation (p < 0.001) and a number of 2-3 cercariae deposited per well (p < 0.001). Also, spectra acquired from S. mansoni cercariae are more likely to obtain a valid identification score than those acquired from S. haematobium (p<0.001). MALDI-TOF is a reliable technique for high-throughput identification of Schistosoma cercariae of medical and veterinary importance and could be useful for field survey in endemic areas. Author summarySchistosomiases are neglected tropical diseases, affecting approximately 200 million people worldwide. They are transmitted during contact with water contaminated with the infesting stage of the parasite (the cercaria stage). Species-level recognition of cercariae present in water has important implications for field campaigns aimed at eradicating schistosomiasis. In addition, Schistosomes are able to hybridize between different species. Identification of Schistosomes cercariae on microscopy is difficult because of their similarity, and it does not allow hybrids to be distinguished. Molecular biology techniques allow a reliable diagnosis but are expensive. MALDI-TOF is a recent technique that permits an inexpensive identification of micro-organisms in a few minutes. In this paper, we evaluate MALDI-TOF identification of Schistosomes cercariae.We have implemented a database of MALDI-TOF cercariae spectra obtained from parental strains and hybrids of species of medical or veterinary interest, allowing reliable identification with an accuracy of 94%. The identification errors mainly come from confusion between the natural Corsican hybrid (S. haematobium x S. bovis) and S. haematobium. The use of machine learning algorithms permits to obtain an accuracy of more than 97% in the recognition of these two parasites. In conclusion, MALDI-TOF is a promising tool for the identification of Schistosome cercariae.",English,"gold, Green Submitted, Green Published",Article,
